gene	location	length		
MMP1	chr11:102789919-102798160	8242		
PROK2	chr3:71771655-71785148	13494		
PPBP	chr4:73986439-73988190	1752		
IL1B	chr2:112829751-112836843	7093		
FPR1	chr19:51745172-51751878	6707		
SELL	chr1:169690667-169711620	20954		
SPP1	chr4:87975714-87983411	7698		
PLAC8	chr4:83090048-83114729	24682		
TREM1	chr6:41267385-41286692	19308		
MGAM	chr7:141986517-142106747	120231		
UPP1	chr7:48088308-48108736	20429		
MCEMP1	chr19:7677090-7679829	2740		
FCAR	chr19:54874231-54891420	17190		
FCGR3B	chr1:161623196-161631963	8768		
SLC2A3	chr12:7919230-7936187	16958		
CSF3R	chr1:36466043-36483314	17272		
G0S2	chr1:209675412-209676390	979		
CR1	chr1:207496157-207641765	145609		
FCN1	chr9:134903232-134917912	14681		
RSAD2	chr2:6865733-6898239	32507		
CD177	chr19:43353686-43366063	12378		
TNFRSF10C	chr8:23102921-23117445	14525		
CXCR2	chr2:218125294-218137253	11960		
MNDA	chr1:158831351-158849502	18152		
ITGAX	chr16:31355167-31382999	27833		
SELE	chr1:169722640-169734079	11440		
FPR2	chr19:51752026-51770531	18506		
TGM2	chr20:38127385-38166508	39124		
ULBP2	chr6:149941947-149949235	7289		
ISG15	chr1:1013497-1014540	1044		
RHCG	chr15:89471407-89496583	25177		
NEFL	chr8:24950955-24956612	5658		
CDC6	chr17:40287878-40304657	16780		
CD300LF	chr17:74694308-74713000	18693		
SIRPB1	chr20:1561385-1620447	59063		
PILRA	chr7:100372659-100400098	27440		
GZMB	chr14:24630954-24634190	3237		
FGR	chr1:27612064-27635185	23122		
H2AX	chr11:119093874-119095465	1592		
IRF7	chr11:612555-615999	3445		
CLEC4D	chr12:8513492-8522366	8875		
GINS2	chr16:85676198-85688954	12757		
CXCR1	chr2:218162841-218166962	4122		
IFIT3	chr10:89327997-89340968	12972		
CCL4	chr17:36103827-36105614	1788		
JAK3	chr19:17824782-17848071	23290		
OASL	chr12:121017761-121039246	21486		
PADI4	chr1:17308195-17364004	55810		
SGCG	chr13:23160508-23325162	164655		
HLA-DQB2	chr6:32756094-32763553	7460		
SERTM1	chr13:36674020-36697839	23820		
FIBIN	chr11:26994112-26997087	2976		
MMP27	chr11:102690943-102705785	14843		
IGDCC4	chr15:65381484-65422947	41464		
TNN	chr1:175067833-175148075	80243		
GSTA3	chr6:52896646-52909799	13154		
FNDC1	chr6:159169400-159272108	102709		
CFD	chr19:859664-863641	3978		
AADAC	chr3:151814008-151828488	14481		
CIDEA	chr18:12254361-12277595	23235		
BCHE	chr3:165772904-165837423	64520		
PLIN4	chr19:4502192-4520285	18094		
LPL	chr8:19939253-19967259	28007		
SUSD5	chr3:33150041-33218952	68912		
MB	chr22:35606764-35623354	16591		
RNASE4	chr14:20684560-20701216	16657		
PDGFRL	chr8:17576433-17643144	66712		
AR	chrX:67544021-67730619	186599		
CFH	chr1:196652033-196747504	95472		
PRKAR2B	chr7:107044705-107161811	117107		
CCN5	chr20:44714204-44728041	13838		
PCOLCE2	chr3:142817874-142889083	71210		
AADACL2	chr3:151733927-151761339	27413		
ELOVL4	chr6:79914814-79947553	32740		
CKM	chr19:45306413-45322875	16463		
RCAN2	chr6:46220731-46491970	271240		
MFAP4	chr17:19383445-19387190	3746		
MYL1	chr2:210290150-210315174	25025		
PLIN1	chr15:89664365-89679367	15003		
BTC	chr4:74744759-74794718	49960		
NR3C2	chr4:148078764-148444698	365935		
NPY1R	chr4:163323962-163344832	20871		
IGSF10	chr3:151435051-151619926	184876		
ANGPTL1	chr1:178849535-178871077	21543		
MYH2	chr17:10521148-10549658	28511		
DPT	chr1:168695468-168729206	33739		
ACTA1	chr1:229431245-229434094	2850		
OGN	chr9:92383268-92404699	21432		
P2RY14	chr3:151212115-151279167	67053		
CHRDL1	chrX:110673856-110795817	121962		
PAMR1	chr11:35431827-35530300	98474		
MAMDC2	chr9:70043581-70226972	183392		
CLCA4	chr1:86547078-86580758	33681		
ADIPOQ	chr3:186842710-186858463	15754		
